Period,Itotal,Ifoods,Iindustrial,Icapital_goods,Ivehicles,Iconsumer_goods,Iother,Etotal,Efoods,Eindustrial,Ecapital_goods,Evehicles,Econsumer_goods,Eother
MAR,118678.00,5116.00,31643.00,27605.00,19028.00,31106.00,4180.00,67871.00,4823.00,16761.00,27484.00,7264.00,8567.00,2973.00
APR,118542.00,5091.00,30817.00,27841.00,19131.00,31428.00,4233.00,67070.00,4779.00,16449.00,26964.00,7280.00,8640.00,2959.00
MAY,120671.00,5260.00,32682.00,28072.00,19286.00,31166.00,4205.00,68677.00,4719.00,17152.00,28020.00,7404.00,8501.00,2882.00
JUN,124355.00,5271.00,35184.00,29198.00,18978.00,31496.00,4227.00,66378.00,4504.00,16372.00,26557.00,7239.00,8525.00,3181.00
JUL,122979.00,5220.00,34067.00,29054.00,19328.00,31154.00,4156.00,67646.00,4480.00,17108.00,27518.00,7537.00,8382.00,2620.00
AUG,124224.00,5193.00,36231.00,28818.00,18642.00,31042.00,4297.00,68132.00,4421.00,16948.00,27495.00,7708.00,8820.00,2740.00
SEP,124400.00,5047.00,35197.00,29603.00,19577.00,30852.00,4124.00,69592.00,4849.00,17491.00,27539.00,7784.00,8858.00,3072.00
OCT,128810.00,5245.00,38158.00,30063.00,19580.00,31606.00,4157.00,70168.00,4802.00,18067.00,27749.00,7785.00,8989.00,2776.00
NOV,131867.00,5420.00,40648.00,29751.00,19203.00,32712.00,4134.00,69284.00,4887.00,17859.00,27086.00,7687.00,8893.00,2871.00
DEC,130310.00,5442.00,38676.00,30123.00,19157.00,32602.00,4310.00,71511.00,4896.00,18436.00,28398.00,7828.00,9212.00,2742.00
2003,1257121.00,55831.00,313818.00,295867.00,210139.00,333878.00,47587.00,724771.00,55026.00,173043.00,293673.00,80633.00,89908.00,32487.00
JAN,102284.00,4484.00,25685.00,24321.00,17087.00,26745.00,3962.00,58068.00,4463.00,14124.00,23055.00,6581.00,7385.00,2461.00
FEB,101719.00,4386.00,26081.00,23464.00,16904.00,26975.00,3908.00,58846.00,4371.00,14019.00,24188.00,6626.00,7046.00,2596.00
MAR,105340.00,4609.00,27906.00,23651.00,17356.00,27820.00,3997.00,59077.00,4315.00,14540.00,23468.00,6726.00,7282.00,2747.00
APR,103175.00,4642.00,25789.00,24273.00,17198.00,27358.00,3916.00,58573.00,4365.00,14129.00,23266.00,6743.00,7143.00,2927.00
MAY,102613.00,4625.00,24707.00,24325.00,17599.00,27512.00,3845.00,58314.00,4313.00,14018.00,23244.00,6953.00,7211.00,2574.00
JUN,103398.00,4468.00,25270.00,24419.00,18131.00,27068.00,4041.00,60582.00,4582.00,14595.00,24289.00,6798.00,7598.00,2719.00
JUL,105082.00,4635.00,26558.00,24396.00,17802.00,27650.00,4042.00,60696.00,4665.00,14687.00,24324.00,6671.00,7568.00,2781.00
AUG,101990.00,4616.00,25874.00,24011.00,15934.00,27771.00,3785.00,59170.00,4555.00,14070.00,24057.00,6201.00,7520.00,2768.00
SEP,105721.00,4844.00,26287.00,25121.00,17527.00,28021.00,3920.00,61041.00,4654.00,14260.00,24902.00,6717.00,7678.00,2829.00
OCT,107040.00,4797.00,25953.00,25488.00,17964.00,28828.00,4011.00,62203.00,4817.00,14656.00,25638.00,6919.00,7662.00,2511.00
NOV,107742.00,4878.00,25811.00,25732.00,18211.00,29047.00,4063.00,64665.00,5015.00,14782.00,27081.00,6798.00,8046.00,2942.00
DEC,111017.00,4847.00,27896.00,26666.00,18426.00,29084.00,4098.00,63536.00,4910.00,15164.00,26160.00,6899.00,7769.00,2633.00
2002,1161366.00,49687.00,267693.00,283323.00,203743.00,307842.00,49078.00,693103.00,49616.00,156812.00,290437.00,78942.00,84359.00,32937.00
JAN,89443.00,3878.00,19553.00,22839.00,15718.00,23446.00,4010.00,55939.00,4186.00,12358.00,23853.00,6132.00,6912.00,2498.00
FEB,91539.00,3969.00,19469.00,23131.00,16437.00,24541.00,3991.00,55717.00,4160.00,12254.00,23462.00,6284.00,6980.00,2578.00
MAR,91447.00,3951.00,19715.00,23414.00,16217.00,23847.00,4302.00,55925.00,3886.00,12271.00,23974.00,6343.00,6765.00,2685.00
APR,95972.00,4019.00,22524.00,23731.00,16944.00,24745.00,4010.00,57958.00,3967.00,12975.00,24476.00,6708.00,7068.00,2765.00
MAY,96395.00,4097.00,22370.00,23679.00,16794.00,25362.00,4093.00,58182.00,4037.00,13226.00,24207.00,6720.00,7001.00,2990.00
JUN,97848.00,4143.00,21912.00,23958.00,17128.00,26346.00,4362.00,58772.00,4302.00,13340.00,24690.00,6833.00,7010.00,2597.00
JUL,97197.00,4228.00,22169.00,23846.00,16871.00,26034.00,4049.00,59129.00,4355.00,13211.00,24765.00,6734.00,7264.00,2800.00
AUG,99721.00,4255.00,23095.00,23732.00,17714.00,26901.00,4025.00,59173.00,4230.00,13448.00,24736.00,6790.00,7102.00,2867.00
SEP,99364.00,4204.00,23151.00,23759.00,17654.00,26465.00,4131.00,58639.00,4087.00,13380.00,24788.00,6639.00,7015.00,2729.00
OCT,96860.00,4095.00,24097.00,22392.00,17091.00,25169.00,4017.00,58066.00,3843.00,13149.00,24373.00,6649.00,7177.00,2874.00
NOV,102120.00,4382.00,24416.00,24374.00,17555.00,27417.00,3976.00,58815.00,4215.00,13644.00,24464.00,6552.00,7155.00,2785.00
DEC,103460.00,4466.00,25223.00,24469.00,17621.00,27569.00,4112.00,56789.00,4348.00,13556.00,22649.00,6558.00,6910.00,2768.00
2001,1140999.00,46641.00,273870.00,297993.00,189782.00,284293.00,48421.00,729100.00,49407.00,160104.00,321714.00,75435.00,88331.00,34110.00
JAN,105470.00,3900.00,27988.00,28825.00,15997.00,24618.00,4142.00,65869.00,3957.00,14274.00,30941.00,6143.00,7640.00,2913.00
FEB,100350.00,3796.00,25887.00,27822.00,15606.00,23158.00,4082.00,66114.00,4118.00,14455.00,30985.00,6037.00,7808.00,2710.00
MAR,101853.00,3737.00,25320.00,28199.00,15678.00,25098.00,3821.00,64350.00,4337.00,14224.00,29123.00,6203.00,7720.00,2743.00
APR,98164.00,3746.00,24152.00,25855.00,15927.00,24311.00,4173.00,62805.00,4265.00,13953.00,27918.00,6261.00,7695.00,2713.00
MAY,95150.00,3766.00,23365.00,24591.00,15704.00,23534.00,4189.00,63772.00,4110.00,13927.00,28392.00,6347.00,7957.00,3038.00
JUN,94978.00,3922.00,22791.00,24518.00,15963.00,23764.00,4020.00,61102.00,4041.00,13452.00,26638.00,6590.00,7226.00,3156.00
JUL,93680.00,4006.00,21924.00,23871.00,15986.00,23854.00,4039.00,59298.00,4044.00,12931.00,25888.00,6204.00,7278.00,2955.00
AUG,92569.00,3942.00,21637.00,23541.00,16253.00,23264.00,3932.00,59648.00,4230.00,13201.00,25561.00,6540.00,7113.00,3004.00
SEP,90957.00,4047.00,21356.00,22581.00,15669.00,23425.00,3878.00,56375.00,4063.00,12321.00,24066.00,6380.00,6890.00,2657.00
OCT,91322.00,4031.00,20668.00,22976.00,15724.00,23885.00,4037.00,56987.00,4113.00,12596.00,24174.00,6292.00,6995.00,2817.00
NOV,89979.00,3973.00,19947.00,22763.00,15895.00,23329.00,4072.00,56711.00,4110.00,12394.00,24159.00,6420.00,6883.00,2745.00
DEC,86527.00,3774.00,18835.00,22451.00,15380.00,22052.00,4035.00,56069.00,4020.00,12376.00,23870.00,6020.00,7125.00,2658.00
2000,1218022.00,45979.00,298980.00,347025.00,195875.00,281832.00,48331.00,781918.00,47871.00,172615.00,356934.00,80356.00,89377.00,34765.00
JAN,93900.00,3670.00,21696.00,26237.00,16732.00,21722.00,3843.00,62543.00,3878.00,13709.00,27856.00,6990.00,7160.00,2950.00
FEB,95901.00,3694.00,23528.00,26536.00,16092.00,22027.00,4024.00,62409.00,3772.00,14024.00,27109.00,6929.00,7369.00,3207.00
MAR,99176.00,3867.00,24706.00,27332.00,16494.00,22881.00,3895.00,63135.00,3961.00,14699.00,27403.00,6968.00,7378.00,2726.00
APR,99242.00,3829.00,23458.00,28468.00,16409.00,23200.00,3879.00,63814.00,3932.00,13867.00,29402.00,6604.00,7329.00,2679.00
MAY,99651.00,3817.00,24191.00,28673.00,15946.00,23274.00,3749.00,63632.00,3990.00,13715.00,29340.00,6638.00,7175.00,2774.00
JUN,103019.00,3822.00,25681.00,29413.00,16498.00,23474.00,4132.00,65997.00,4059.00,14152.00,30305.00,6812.00,7687.00,2982.00
JUL,103349.00,3885.00,25852.00,29358.00,16544.00,23649.00,4060.00,65711.00,4116.00,14088.00,30819.00,6442.00,7490.00,2757.00
